id,value,feed_id,created_at,lat,lon,ele
0F9KV19CBFN9Y9SY4ZS3B56VQP,247,1378010,2023-04-24 07:40:48 UTC,0,0,0
0F9KV1DYCWZXMNHNPSEWVBA8VK,248,1378010,2023-04-24 07:41:03 UTC,0,0,0
0F9KV1JJDAKQP4YPCRW0MCR7M9,250,1378010,2023-04-24 07:41:18 UTC,0,0,0
0F9KV1Q3CH9X76WSB6SFMJ0ZZR,251,1378010,2023-04-24 07:41:33 UTC,0,0,0
0F9KV1VPBT6GJ57M3BENR3QMS4,252,1378010,2023-04-24 07:41:48 UTC,0,0,0
0F9KV20ACCGHD6F5DB9EXC8Z6C,253,1378010,2023-04-24 07:42:03 UTC,0,0,0
0F9KV24WRG7Q1RM82AZS4SB98Z,254,1378010,2023-04-24 07:42:18 UTC,0,0,0
0F9KV29ECJS8YCWEQ9MK9NT1VE,255,1378010,2023-04-24 07:42:33 UTC,0,0,0
0F9KV2E0EKHVG6MXFEW02YBHXG,255,1378010,2023-04-24 07:42:48 UTC,0,0,0
0F9KV2JK551DNB5C5681QCN8TR,256,1378010,2023-04-24 07:43:03 UTC,0,0,0
0F9KV2Q4Y5WRH54ACFKR6AENSH,256,1378010,2023-04-24 07:43:18 UTC,0,0,0
0F9KV2VRE7C7EZH5GEMWBA4S4T,257,1378010,2023-04-24 07:43:33 UTC,0,0,0
0F9KV30BCE7BEFX2F6AJ0Z50XF,257,1378010,2023-04-24 07:43:48 UTC,0,0,0
0F9KV34XGSN9D6P2DNR79VFXXM,258,1378010,2023-04-24 07:44:03 UTC,0,0,0
0F9KV39FE0ZG66S7W2H6VRTE8V,258,1378010,2023-04-24 07:44:18 UTC,0,0,0
0F9KV3E3KQQZSKH9RPQQ2DN1F8,259,1378010,2023-04-24 07:44:33 UTC,0,0,0
0F9KV3JNE63KS7ZBKP2XFJ6F4G,259,1378010,2023-04-24 07:44:48 UTC,0,0,0
0F9KV3Q7QN3M3WRC2WJTQVA9ST,259,1378010,2023-04-24 07:45:03 UTC,0,0,0
0F9KV3VSERQSSERVBBEEK3D98F,259,1378010,2023-04-24 07:45:18 UTC,0,0,0
0F9KV40DCQVT37MAQ9VCMDPW46,260,1378010,2023-04-24 07:45:33 UTC,0,0,0
0F9KV44ZEVANN4K6A94TQBCZ13,260,1378010,2023-04-24 07:45:48 UTC,0,0,0
0F9KV49HCJNM37JT74GPXHQ6K8,261,1378010,2023-04-24 07:46:03 UTC,0,0,0
0F9KV4E5D8SR74ZGCQKFBKPRFE,261,1378010,2023-04-24 07:46:18 UTC,0,0,0
0F9KV4JQEAP6X55N8H6B5QV6ND,261,1378010,2023-04-24 07:46:33 UTC,0,0,0
0F9KV4Q9D7F6HZQGQVQVM4ZGGE,261,1378010,2023-04-24 07:46:48 UTC,0,0,0
0F9KV4VXCBGZR6A8P12V20XG60,262,1378010,2023-04-24 07:47:03 UTC,0,0,0
0F9KV4WXD6E8PVTYPBZ3WBKCDK,261,1378010,2023-04-24 07:47:06 UTC,0,0,0
0F9KV51FCQQ0V40JXR4NQTCENT,261,1378010,2023-04-24 07:47:21 UTC,0,0,0
0F9KV561CWNZJPA2Z0EAFGE3Z1,262,1378010,2023-04-24 07:47:36 UTC,0,0,0
0F9KV576DCFP0GCEP2PKGBE1BE,262,1378010,2023-04-24 07:47:40 UTC,0,0,0
0F9KV5BPFCG0KF0YS8MGK2AY67,262,1378010,2023-04-24 07:47:55 UTC,0,0,0
0F9KV5G9FZ6PAVHQJSEC34W9S2,261,1378010,2023-04-24 07:48:10 UTC,0,0,0
0F9KV5HSDA55774B48AT2S5WWK,256,1378010,2023-04-24 07:48:15 UTC,0,0,0
0F9KV5PGD9E8TJ6BGZ4M7A0B7C,196,1378010,2023-04-24 07:48:30 UTC,0,0,0
0F9KV5VBD66FC54BP29FHS6PEG,197,1378010,2023-04-24 07:48:46 UTC,0,0,0
0F9KV5X7DE0H14H500SEKKFGZE,227,1378010,2023-04-24 07:48:52 UTC,0,0,0
0F9KV5ZQD9MQ1XMMFES9BREATP,238,1378010,2023-04-24 07:49:00 UTC,0,0,0
0F9KV611D9DVD80MTVG524MADM,242,1378010,2023-04-24 07:49:05 UTC,0,0,0
0F9NCZ0SH1JJM9MGZX4CP0JJG0,241,1378010,2023-04-26 06:13:02 UTC,0,0,0
0F9NCZ5SGN79CXYMJF2653RCZS,255,1378010,2023-04-26 06:13:18 UTC,0,0,0
0F9NCZACHG167NHHZ3C917VE7Q,257,1378010,2023-04-26 06:13:33 UTC,0,0,0
0F9NCZDCVBQJRTCGN8V98P2T7F,184,1378010,2023-04-26 06:13:43 UTC,0,0,0
0F9NCZFGG7HM225GX8HTTT3V46,184,1378010,2023-04-26 06:13:50 UTC,0,0,0
